date_time	model	input_tokens(input_costs)	output_tokens(output_costs)	total_tokens(total_costs)	accumulated_cost[dolar]
2026-08-04_09-38-30	gemini-2.5-flash	749(0.0)	256(0.0)	6340(0.0)	0.0
2026-08-04_09-56-57	gemini-2.5-flash	761(0.0)	323(0.0)	63994(0.0)	0.0
2026-08-04_10-04-58	gemini-2.5-flash	765(0.0)	275(0.0)	1637(0.0)	0.0
2026-08-04_10-08-18	gemini-2.5-flash	765(0.0)	422(0.0)	6912(0.0)	0.0
2026-08-04_10-11-44	gemini-2.5-flash	749(0.0)	349(0.0)	3098(0.0)	0.0
2026-08-04_10-17-27	gemini-2.5-flash	749(0.0)	372(0.0)	4289(0.0)	0.0
2026-08-04_10-56-19	gemini-2.5-flash	749(0.0)	361(0.0)	3318(0.0)	0.0
2026-08-04_10-58-35	gemini-2.5-flash	765(0.0)	378(0.0)	5168(0.0)	0.0
2026-08-04_11-06-35	gemini-2.5-flash	765(0.0)	254(0.0)	1525(0.0)	0.0
2026-08-04_11-19-50	gemini-2.5-flash	747(0.0)	261(0.0)	2388(0.0)	0.0
2026-08-04_11-20-34	gemini-2.5-flash	748(0.0)	242(0.0)	3030(0.0)	0.0
2026-08-04_11-21-55	gemini-2.5-flash	750(0.0)	257(0.0)	2783(0.0)	0.0
2026-08-04_12-32-00	gemini-2.5-flash	750(0.0)	253(0.0)	3190(0.0)	0.0
2026-08-04_12-36-58	gemini-2.5-flash	751(0.0)	256(0.0)	63919(0.0)	0.0
2026-08-04_12-44-37	gemini-2.5-flash	774(0.0)	249(0.0)	1562(0.0)	0.0
2026-08-04_14-06-04	gemini-2.5-flash	1341(0.0)	210(0.0)	3547(0.0)	0.0
2026-08-04_14-25-22	gemini-2.5-flash	1362(0.0)	225(0.0)	2161(0.0)	0.0
2026-08-04_15-19-17	gemini-2.5-flash	1362(0.0)	216(0.0)	2240(0.0)	0.0
2026-08-04_15-26-43	gemini-2.5-flash	1362(0.0)	185(0.0)	2710(0.0)	0.0
2026-08-04_15-31-07	gemini-2.5-flash	1362(0.0)	216(0.0)	2084(0.0)	0.0
2026-08-04_15-38-01	gemini-2.5-flash	1362(0.0)	232(0.0)	2162(0.0)	0.0
2026-08-04_15-45-51	gemini-2.5-flash	1362(0.0)	226(0.0)	3326(0.0)	0.0
2026-08-05_13-19-18	gemini-2.5-flash	1362(0.0)	226(0.0)	2598(0.0)	0.0
2026-08-05_13-29-41	gemini-2.5-flash	1362(0.0)	216(0.0)	2542(0.0)	0.0
